time (sec),intensity_fraction,initial_delay (frames),on_duration (frames),off_duration (frames),notes,use_maxwell,delta_t (sec)
1680472340.7245247,0.1,0,200000,4000,,True,12.489261865615845
1680472360.7537067,0.2,0,200000,4000,,True,20.029181957244873
1680472380.7857025,0.3,0,200000,4000,,True,20.03199577331543
1680472400.816871,0.4,0,200000,4000,,True,20.031168460845947
1680472420.8476632,0.5,0,200000,4000,,True,20.030792236328125
1680472440.8763762,0.6,0,200000,4000,,True,20.02871298789978
1680472460.9059625,0.7,0,200000,4000,,True,20.02958631515503
1680472480.9414263,0.8,0,200000,4000,,True,20.03546380996704
1680472500.9723632,0.9,0,200000,4000,,True,20.03093695640564
